Date,CountOfPersons
2019-10-26 11:00:00,16
2019-10-26 11:05:00,11
2019-10-26 11:10:00,17
2019-10-26 11:15:00,19
2019-10-26 11:20:00,30
2019-10-26 11:25:00,70
2019-10-26 11:30:00,52
2019-10-26 11:35:00,56
2019-10-26 11:40:00,74
2019-10-26 11:45:00,113
2019-10-26 11:50:00,160
2019-10-26 11:55:00,229
2019-10-26 12:00:00,311
2019-10-26 12:05:00,347
2019-10-26 12:10:00,495
2019-10-26 12:15:00,515
2019-10-26 12:20:00,535
2019-10-26 12:25:00,519
2019-10-26 12:30:00,613
2019-10-26 12:35:00,588
2019-10-26 12:40:00,530
2019-10-26 12:45:00,570
2019-10-26 12:50:00,453
2019-10-26 12:55:00,131
2019-10-26 13:00:00,47
2019-10-26 13:05:00,28
2019-10-26 13:10:00,18
2019-10-26 13:15:00,8
2019-10-26 13:20:00,10
2019-10-26 13:25:00,7
2019-10-26 13:30:00,1
2019-10-26 13:35:00,1
2019-10-26 13:40:00,4
2019-10-26 13:45:00,1
2019-10-26 13:50:00,1
2019-10-26 13:55:00,1
2019-10-26 14:00:00,2
