Date,CountOfPersons
2019-05-03 15:25:00,2
2019-05-03 15:30:00,0
2019-05-03 15:35:00,0
2019-05-03 15:40:00,0
2019-05-03 15:45:00,0
2019-05-03 15:50:00,1
2019-05-03 15:55:00,0
2019-05-03 16:00:00,0
2019-05-03 16:05:00,0
2019-05-03 16:10:00,0
2019-05-03 16:15:00,0
2019-05-03 16:20:00,0
2019-05-03 16:25:00,0
2019-05-03 16:30:00,11
2019-05-03 16:35:00,12
2019-05-03 16:40:00,13
2019-05-03 16:45:00,10
2019-05-03 16:50:00,18
2019-05-03 16:55:00,51
2019-05-03 17:00:00,35
2019-05-03 17:05:00,46
2019-05-03 17:10:00,74
2019-05-03 17:15:00,87
2019-05-03 17:20:00,152
2019-05-03 17:25:00,265
2019-05-03 17:30:00,260
2019-05-03 17:35:00,595
2019-05-03 17:40:00,443
2019-05-03 17:45:00,399
2019-05-03 17:50:00,457
2019-05-03 17:55:00,484
2019-05-03 18:00:00,456
2019-05-03 18:05:00,457
2019-05-03 18:10:00,489
2019-05-03 18:15:00,501
2019-05-03 18:20:00,493
2019-05-03 18:25:00,544
2019-05-03 18:30:00,266
2019-05-03 18:35:00,17
2019-05-03 18:40:00,20
2019-05-03 18:45:00,36
2019-05-03 18:50:00,3
2019-05-03 18:55:00,1
2019-05-03 19:00:00,0
2019-05-03 19:05:00,0
2019-05-03 19:10:00,0
2019-05-03 19:15:00,1
2019-05-03 19:20:00,2
2019-05-03 19:25:00,2
2019-05-03 19:30:00,1
